n,repeat,cell,qkey,method,wd
5,0,White | Protestant,FAMSURV28_W50,probe_plain,0.054844959396385784
5,0,White | Protestant,FAMSURV28_W50,probe_L_group,0.05785663692328502
5,0,White | Protestant,FAMSURV28_W50,shrinkage,0.01704048259366575
5,0,White | Protestant,FAMSURV35a_W50,probe_plain,0.4859264775904568
5,0,White | Protestant,FAMSURV35a_W50,probe_L_group,0.48710899859293744
5,0,White | Protestant,FAMSURV35a_W50,shrinkage,0.007196525722030445
5,0,White | Protestant,FAMSURV35b_W50,probe_plain,0.469212034813442
5,0,White | Protestant,FAMSURV35b_W50,probe_L_group,0.4698487766810898
5,0,White | Protestant,FAMSURV35b_W50,shrinkage,0.21170507479907397
5,0,White | Protestant,FAMSURV35c_W50,probe_plain,0.7985596239812841
5,0,White | Protestant,FAMSURV35c_W50,probe_L_group,0.8075409694162246
5,0,White | Protestant,FAMSURV35c_W50,shrinkage,0.0050203922465496265
5,0,White | Protestant,FAMSURV36a_W50,probe_plain,0.8376780930697706
5,0,White | Protestant,FAMSURV36a_W50,probe_L_group,0.8709153794884249
5,0,White | Protestant,FAMSURV36a_W50,shrinkage,0.17348615904112782
5,0,White | Protestant,FAMSURV36b_W50,probe_plain,0.8368734473145071
5,0,White | Protestant,FAMSURV36b_W50,probe_L_group,0.8654552401287637
5,0,White | Protestant,FAMSURV36b_W50,shrinkage,0.08018373979321974
5,0,White | Protestant,FAMSURV36c_W50,probe_plain,0.7803746250891211
5,0,White | Protestant,FAMSURV36c_W50,probe_L_group,0.8046516641859625
5,0,White | Protestant,FAMSURV36c_W50,shrinkage,0.11849050039277281
5,0,White | Protestant,FAMSURV4_W50,probe_plain,0.32417090371508794
5,0,White | Protestant,FAMSURV4_W50,probe_L_group,0.3251655856919934
5,0,White | Protestant,FAMSURV4_W50,shrinkage,0.22074380300384805
5,0,White | Protestant,FAMSURV8_W50,probe_plain,0.42226795514869875
5,0,White | Protestant,FAMSURV8_W50,probe_L_group,0.4402890584896768
5,0,White | Protestant,FAMSURV8_W50,shrinkage,0.10878203237681433
5,0,White | Protestant,FATHER_W50,probe_plain,0.1693004965114453
5,0,White | Protestant,FATHER_W50,probe_L_group,0.6091941661334496
5,0,White | Protestant,FATHER_W50,shrinkage,0.023179624416167166
5,0,White | Protestant,FCFAIR_W45,probe_plain,0.5709988242651798
5,0,White | Protestant,FCFAIR_W45,probe_L_group,0.5712901850563838
5,0,White | Protestant,FCFAIR_W45,shrinkage,0.022667689879431685
5,0,White | Protestant,FITTRACK_W49,probe_plain,0.11196136069529455
5,0,White | Protestant,FITTRACK_W49,probe_L_group,0.7857032721198589
5,0,White | Protestant,FITTRACK_W49,shrinkage,0.10187642883333153
5,0,White | Protestant,FP_AUTH_W92,probe_plain,0.212133062569536
5,0,White | Protestant,FP_AUTH_W92,probe_L_group,0.4081658653444037
5,0,White | Protestant,FP_AUTH_W92,shrinkage,0.03853842611862979
5,0,White | Protestant,GLBLZE_W92,probe_plain,0.5780307198025048
5,0,White | Protestant,GLBLZE_W92,probe_L_group,0.6382222376851852
5,0,White | Protestant,GLBLZE_W92,shrinkage,0.20090194304340964
