attr_type,pair,qkey,wd_A_to_realA,wd_A_to_realB,wd_B_to_realB,wd_predA_predB,real_wd_AB,condition,wd_patch_to_realB,wd_patch_to_realA,wd_patch_to_predB,shift_to_realB,shift_to_predB
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47b_W43,0.3462063208046198,0.939815508180618,0.9134955688099247,0.026319939370693296,1.027713391152973,patch_L11_all32,0.9418800220608622,0.34827084363568817,0.02838445325093747,-0.002064513880244201,-0.002064513880244173
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent -> AGExPOLPARTY :: 18-29 | Other,WORRY2e_W54,0.4525917531364194,0.49391504415436793,0.4882077056169828,0.04802005064517334,0.9465067972907873,patch_randhead,0.49581357816409216,0.4506932191266952,0.046736318126711696,-0.0018985340097242287,0.0012837325184616444
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent -> AGExPOLPARTY :: 18-29 | Other,E5_W36,0.3770188218149634,0.5669642597917564,0.5776637765774166,0.04708382779298165,0.9439830816067197,patch_L11_all32,0.5659345611750211,0.3780485204316987,0.03058674524794458,0.0010296986167352973,0.016497082545037067
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent -> AGExPOLPARTY :: 18-29 | Other,E5_W36,0.3770188218149634,0.5669642597917564,0.5776637765774166,0.04708382779298165,0.9439830816067197,patch_L11H16,0.5698324693663337,0.37415061224038604,0.04639620615342105,-0.0028682095745773406,0.0006876216395605983
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent -> AGExPOLPARTY :: 18-29 | Other,E5_W36,0.3770188218149634,0.5669642597917564,0.5776637765774166,0.04708382779298165,0.9439830816067197,patch_L11L18_all,0.5687366691880197,0.37524641241870005,0.029870094649201262,-0.0017724093962633303,0.017213733143780385
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent -> AGExPOLPARTY :: 18-29 | Other,E5_W36,0.3770188218149634,0.5669642597917564,0.5776637765774166,0.04708382779298165,0.9439830816067197,patch_L11_all32_x5,0.6041469835954678,0.3398360980112519,0.02648320701805129,-0.03718272380371146,0.020600620774930356
AGExPOLPARTY,AGExPOLPARTY :: 65+ | Independent -> AGExPOLPARTY :: 18-29 | Other,E5_W36,0.3770188218149634,0.5669642597917564,0.5776637765774166,0.04708382779298165,0.9439830816067197,patch_randhead,0.5669642597917564,0.3770188218149634,0.04708382779298165,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,MARRDUR_W50,0.80466030181688,1.7465472995627986,1.5455664137994143,0.2009808857633844,2.5512076013796787,patch_L11_all32,1.7477198663783151,0.8034877350013635,0.20215345257890088,-0.0011725668155164737,-0.0011725668155164737
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,MARRDUR_W50,0.80466030181688,1.7465472995627986,1.5455664137994143,0.2009808857633844,2.5512076013796787,patch_L11H16,1.7465472995627986,0.80466030181688,0.2009808857633844,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,MARRDUR_W50,0.80466030181688,1.7465472995627986,1.5455664137994143,0.2009808857633844,2.5512076013796787,patch_L11L18_all,1.7477198663783151,0.8034877350013635,0.20215345257890088,-0.0011725668155164737,-0.0011725668155164737
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,MARRDUR_W50,0.80466030181688,1.7465472995627986,1.5455664137994143,0.2009808857633844,2.5512076013796787,patch_L11_all32_x5,1.798459899766453,0.7527477016132257,0.2528934859670387,-0.05191260020365429,-0.05191260020365429
