type,cell,n,wd_mouth,wd_L11,wd_L1,wd_L11H16,wd_qmean
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Democrat,247,0.2871307776913499,0.22213153423237514,0.29547132034014173,0.22625751738504188,0.15932413527134254
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Democrat,250,0.2812340520216736,0.19715830624407887,0.2730442876234388,0.20562304905421605,0.12528188041911453
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Independent,250,0.2737680140439812,0.1788963337969685,0.2523369566388747,0.1859493242611669,0.10359008703109819
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Other,250,0.26535697851971485,0.19917623915116248,0.23971308564811977,0.19798954107641992,0.17012045359691408
RELIGxPOLPARTY,RELIGxPOLPARTY :: Roman Catholic | Republican,250,0.348441078387224,0.22762459545161218,0.2959247266683671,0.2401523062409841,0.17117992014053246
RACExPOLPARTY,RACExPOLPARTY :: Asian | Democrat,250,0.35084871509881227,0.2672941916582332,0.3605170656473355,0.27159106889515156,0.19528263429901807
RACExPOLPARTY,RACExPOLPARTY :: Asian | Independent,249,0.31749362994273045,0.2445312712332675,0.32111029132346197,0.25334575790879355,0.17880483148290666
RACExPOLPARTY,RACExPOLPARTY :: Asian | Other,78,0.26421880534043635,0.21638063166499583,0.2875507322228117,0.22771884127597344,0.18392667648903566
RACExPOLPARTY,RACExPOLPARTY :: Asian | Republican,211,0.37761579890686525,0.28204179748882796,0.3348126787970687,0.2929586559393072,0.2547242835149849
RACExPOLPARTY,RACExPOLPARTY :: Black | Democrat,250,0.28245029801756827,0.2217022574452078,0.3134244877108321,0.22310994730783204,0.14718243241810985
RACExPOLPARTY,RACExPOLPARTY :: Black | Independent,250,0.2748953011097338,0.21947315319858718,0.3015205144309682,0.21796908662230993,0.14431569288614043
RACExPOLPARTY,RACExPOLPARTY :: Black | Other,250,0.31274018099005974,0.2577508403211556,0.319402522071583,0.2653511928689152,0.2072192718342087
RACExPOLPARTY,RACExPOLPARTY :: Black | Refused,43,0.3283840001912807,0.3045354430935017,0.3834772145055508,0.30507013091800417,0.26702395107924926
RACExPOLPARTY,RACExPOLPARTY :: Black | Republican,125,0.36239198991290483,0.27418444764114996,0.3295037274113225,0.2680946547972095,0.2538653257014028
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Democrat,250,0.32073091488848626,0.24085592868626396,0.3387477188563692,0.24436758825068997,0.15536439004663366
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Independent,250,0.2915339558154578,0.21528262084157707,0.29253984632912905,0.21782875063692167,0.13634813287554837
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Other,250,0.29374633815771584,0.22477412604530683,0.299586297343796,0.22732928739300515,0.15320431887217878
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Refused,43,0.33479772583741935,0.25724093274993953,0.35891846474122074,0.2674923731036174,0.22156900927305045
RACExPOLPARTY,RACExPOLPARTY :: Hispanic | Republican,249,0.3819766841517325,0.2953254343507366,0.33778427119893095,0.30016906261600435,0.23189450947132528
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Democrat,207,0.3676051335320021,0.30793055616284176,0.3812065518769268,0.3105763506397175,0.2178476181522127
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Independent,207,0.3064522992225998,0.24663620657809143,0.3047803162116084,0.24888852008372206,0.16744831154571985
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Other,168,0.3375851685047773,0.2545193416698886,0.3238304042627546,0.25861885402731744,0.2082557547706794
RACExPOLPARTY,RACExPOLPARTY :: Mixed Race | Republican,118,0.40944130125375094,0.3067881350834317,0.39189038462507997,0.3173250115751283,0.25791901062751194
RACExPOLPARTY,RACExPOLPARTY :: Other | Democrat,43,0.3343871207188447,0.290014897884488,0.39994211042974914,0.2786961943037211,0.22287737185755946
RACExPOLPARTY,RACExPOLPARTY :: Other | Independent,82,0.2994791839002645,0.23949996617994027,0.3323281490426487,0.2513871445730921,0.16922509773486072
RACExPOLPARTY,RACExPOLPARTY :: Other | Republican,39,0.3438360344462613,0.27273576202935534,0.31297320451371735,0.3014681806033934,0.2635333298954152
RACExPOLPARTY,RACExPOLPARTY :: Refused | Democrat,46,0.5304826520273818,0.3997676133101084,0.516403357208722,0.3793204976237287,0.28571142300093655
