attr_type,pair,qkey,layer,wd_A_to_realA,wd_A_to_realB,wd_B_to_realB,wd_patch_to_realB,wd_ctrl_to_realB,shift_ke_realB,shift_ctrl_ke_realB
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Refused,RACESURV47b_W43,0,0.3462063208046198,0.939815508180618,0.9134955688099247,0.939815508180618,0.9422637570631957,0.0,-0.002448248882577664
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,3,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.39233578972308825,0.39122057471570204,-0.0024047079801091664,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,4,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.39060084091328406,0.39122057471570204,-0.0006697591703049843,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,5,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.3859263806456089,0.39122057471570204,0.004004701097370167,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,6,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.38574613266167446,0.39122057471570204,0.004184949081304623,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,7,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.3873395260569279,0.39122057471570204,0.0025915556860511835,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,8,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.392260819188068,0.39122057471570204,-0.0023297374450889086,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,9,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.3897221972622511,0.39122057471570204,0.00020888448072797772,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,10,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.38829766724404524,0.39122057471570204,0.0016334144989338384,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,11,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.3827031392877477,0.39122057471570204,0.007227942455231395,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,12,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.3905620626002235,0.39122057471570204,-0.0006309808572444453,-0.001289492972722961
RACExRELIG,RACExRELIG :: White | Jewish -> RACExRELIG :: Mixed Race | Roman Catholic,FAMSURV9a_W50,13,0.44210625375911045,0.3899310817429791,0.3872419760960979,0.3886662948578218,0.39122057471570204,0.0012647868851572985,-0.001289492972722961
