attr_type,pair,qkey,wd_A_to_realA,wd_A_to_realB,wd_B_to_realB,wd_predA_predB,real_wd_AB,condition,donor_cells,wd_patch_to_realB,wd_patch_to_realA,wd_patch_to_predA,wd_patch_to_predB,shift_ke_realB,shift_ke_predB,gerak_total
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,MARRDUR_W50,0.9503277312693043,1.6023285920333006,1.4600897682061627,0.14223882382713793,0.7748946472960947,othercell_1,AGExPOLPARTY :: 65+ | Other|AGExPOLPARTY :: 65+ | Republican,1.5928366539807441,0.9450482854816071,0.009491938052556534,0.13274688577458138,0.009491938052556437,0.009491938052556548,0.009491938052556534
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,MARRDUR_W50,0.9503277312693043,1.6023285920333006,1.4600897682061627,0.14223882382713793,0.7748946472960947,othercell_2,AGExPOLPARTY :: 65+ | Other|AGExPOLPARTY :: 65+ | Republican,1.5988187029285366,0.9477875368059642,0.0035098891047638386,0.13872893472237408,0.003509889104764019,0.0035098891047638525,0.0035098891047638386
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,MARRDUR_W50,0.9503277312693043,1.6023285920333006,1.4600897682061627,0.14223882382713793,0.7748946472960947,dimshuffle,,1.5881974075774283,0.9445760097635437,0.01413118445587229,0.12810763937126562,0.014131184455872248,0.014131184455872303,0.01413118445587229
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,ROMRELSER_W50,0.5821228191328831,0.3791642229543614,0.37574977352974476,0.0335507600120295,0.7526803121187309,true,,0.3787124225307462,0.5852517743760633,0.003128955243180187,0.031163276634958936,0.0004518004236152007,0.002387483377070565,0.003128955243180187
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,ROMRELSER_W50,0.5821228191328831,0.3791642229543614,0.37574977352974476,0.0335507600120295,0.7526803121187309,othercell_1,AGExPOLPARTY :: 65+ | Other|AGExPOLPARTY :: 65+ | Republican,0.3814235548207131,0.5906432084521088,0.008520389319225663,0.028954641325234343,-0.002259331866351688,0.004596118686795159,0.008520389319225663
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,ROMRELSER_W50,0.5821228191328831,0.3791642229543614,0.37574977352974476,0.0335507600120295,0.7526803121187309,othercell_2,AGExPOLPARTY :: 65+ | Other|AGExPOLPARTY :: 65+ | Republican,0.3799296830889457,0.5872118318188227,0.005089012685939587,0.031017143374131695,-0.0007654601345842837,0.0025336166378978064,0.005089012685939587
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,ROMRELSER_W50,0.5821228191328831,0.3791642229543614,0.37574977352974476,0.0335507600120295,0.7526803121187309,dimshuffle,,0.37602099707909764,0.5798923534614765,0.0031432258752637776,0.03336902745823428,0.0031432258752637776,0.0001817325537952219,0.0031432258752637776
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,RACESURV47b_W43,0.3470353183565532,0.7365945792710193,0.7019999044172658,0.0466375398413387,0.7465624404207774,true,,0.7341463303884416,0.3462063208046198,0.0024482488825776916,0.04500207573187798,0.002448248882577775,0.0016354641094607214,0.0024482488825776916
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,RACESURV47b_W43,0.3470353183565532,0.7365945792710193,0.7019999044172658,0.0466375398413387,0.7465624404207774,othercell_1,AGExPOLPARTY :: 65+ | Other|AGExPOLPARTY :: 65+ | Republican,0.7341463303884416,0.3462063208046198,0.0024482488825776916,0.04500207573187798,0.002448248882577775,0.0016354641094607214,0.0024482488825776916
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,RACESURV47b_W43,0.3470353183565532,0.7365945792710193,0.7019999044172658,0.0466375398413387,0.7465624404207774,othercell_2,AGExPOLPARTY :: 65+ | Other|AGExPOLPARTY :: 65+ | Republican,0.7365945792710193,0.3470353183565532,0.0,0.0466375398413387,0.0,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,RACESURV47b_W43,0.3470353183565532,0.7365945792710193,0.7019999044172658,0.0466375398413387,0.7465624404207774,dimshuffle,,0.7374979174918344,0.34727579330306624,0.004212409383428373,0.04308799373221231,-0.0009033382208150087,0.003549546109126389,0.004212409383428373
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,RQ8_F1B_W42,0.6938493641740295,0.2977722952565811,0.2277001196287324,0.07007217562784873,0.7224292765063477,true,,0.2976352312708812,0.6917365115216876,0.0021128526523419566,0.06993511164214883,0.0001370639856999034,0.0001370639856999034,0.0021128526523419566
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,RQ8_F1B_W42,0.6938493641740295,0.2977722952565811,0.2277001196287324,0.07007217562784873,0.7224292765063477,othercell_1,AGExPOLPARTY :: 65+ | Other|AGExPOLPARTY :: 65+ | Republican,0.2976330737013233,0.6877492606422471,0.006100103531782475,0.06993295407259092,0.00013922155525780688,0.00013922155525780688,0.006100103531782475
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,RQ8_F1B_W42,0.6938493641740295,0.2977722952565811,0.2277001196287324,0.07007217562784873,0.7224292765063477,othercell_2,AGExPOLPARTY :: 65+ | Other|AGExPOLPARTY :: 65+ | Republican,0.2976330737013233,0.6877492606422471,0.006100103531782475,0.06993295407259092,0.00013922155525780688,0.00013922155525780688,0.006100103531782475
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,RQ8_F1B_W42,0.6938493641740295,0.2977722952565811,0.2277001196287324,0.07007217562784873,0.7224292765063477,dimshuffle,,0.2902554778490859,0.7056507554565461,0.015686378292813552,0.06255535822035346,0.007516817407495213,0.007516817407495269,0.015686378292813552
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,RACESURV29b_W43,0.2620538308870862,0.45635066120399165,0.46808432709150144,0.05151604039198099,0.6924752577054428,true,,0.4610265473770284,0.26014433509925633,0.004675886173036742,0.04960654460415112,-0.00467588617303677,0.001909495787829868,0.004675886173036742
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,RACESURV29b_W43,0.2620538308870862,0.45635066120399165,0.46808432709150144,0.05151604039198099,0.6924752577054428,othercell_1,AGExPOLPARTY :: 65+ | Other|AGExPOLPARTY :: 65+ | Republican,0.4657046766260011,0.2582478802774709,0.009354015422009476,0.04771008978236574,-0.009354015422009476,0.0038059506096152496,0.009354015422009476
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,RACESURV29b_W43,0.2620538308870862,0.45635066120399165,0.46808432709150144,0.05151604039198099,0.6924752577054428,othercell_2,AGExPOLPARTY :: 65+ | Other|AGExPOLPARTY :: 65+ | Republican,0.4631527537624525,0.2601750321999027,0.0068020925584608705,0.04963724170479744,-0.0068020925584608705,0.0018787986871835471,0.0068020925584608705
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,RACESURV29b_W43,0.2620538308870862,0.45635066120399165,0.46808432709150144,0.05151604039198099,0.6924752577054428,dimshuffle,,0.46011993002680374,0.26020526700957236,0.0037692688228120885,0.04966747651446718,-0.0037692688228120885,0.0018485638775138091,0.0037692688228120885
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,RQ4_F1Ab_W42,0.5797700367589783,0.4868560668878076,0.44903697311317614,0.09100990581086421,0.6922678945409062,true,,0.4851965938798045,0.5808283101769848,0.0022000702335600586,0.08880983557730415,0.001659473008003065,0.0022000702335600586,0.0022000702335600586
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,RQ4_F1Ab_W42,0.5797700367589783,0.4868560668878076,0.44903697311317614,0.09100990581086421,0.6922678945409062,othercell_1,AGExPOLPARTY :: 65+ | Other|AGExPOLPARTY :: 65+ | Republican,0.48799585159929915,0.5856340987179974,0.005864061959019118,0.08830711508712508,-0.001139784711491565,0.0027027907237391346,0.005864061959019118
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,RQ4_F1Ab_W42,0.5797700367589783,0.4868560668878076,0.44903697311317614,0.09100990581086421,0.6922678945409062,othercell_2,AGExPOLPARTY :: 65+ | Other|AGExPOLPARTY :: 65+ | Republican,0.48825474817571646,0.5821763824957422,0.002406345736763904,0.09075547143138885,-0.0013986812879088761,0.0002544343794753656,0.002406345736763904
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,RQ4_F1Ab_W42,0.5797700367589783,0.4868560668878076,0.44903697311317614,0.09100990581086421,0.6922678945409062,dimshuffle,,0.4723433182923471,0.5605240121270882,0.01924602463189007,0.09220496696376002,0.014512748595460478,-0.0011950611528958044,0.01924602463189007
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,RQ4_F1Ac_W42,0.7006005054537083,0.3926393000557806,0.3672573360038956,0.06098459817261065,0.6733142628244981,true,,0.390059920503954,0.6982896314434214,0.0025793795518266327,0.058485987852864574,0.0025793795518266327,0.002498610319746075,0.0025793795518266327
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,RQ4_F1Ac_W42,0.7006005054537083,0.3926393000557806,0.3672573360038956,0.06098459817261065,0.6733142628244981,othercell_1,AGExPOLPARTY :: 65+ | Other|AGExPOLPARTY :: 65+ | Republican,0.3872338888510043,0.7017477607722793,0.005405411204776334,0.05858650956246686,0.005405411204776334,0.0023980886101437893,0.005405411204776334
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,RQ4_F1Ac_W42,0.7006005054537083,0.3926393000557806,0.3672573360038956,0.06098459817261065,0.6733142628244981,othercell_2,AGExPOLPARTY :: 65+ | Other|AGExPOLPARTY :: 65+ | Republican,0.3903383325378297,0.7020600648384131,0.002300967517950947,0.06084854588734118,0.002300967517950947,0.00013605228526947233,0.002300967517950947
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,RQ4_F1Ac_W42,0.7006005054537083,0.3926393000557806,0.3672573360038956,0.06098459817261065,0.6733142628244981,dimshuffle,,0.4049509174085083,0.6894372021603282,0.012311617352727677,0.06117026194792846,-0.012311617352727677,-0.00018566377531781253,0.012311617352727677
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,RACESURV47a_W43,0.29935395428716366,0.74939979539128,0.8251707408772734,0.07577094548599345,0.6584722861880353,true,,0.7551486485643698,0.3022626460943844,0.0057488531730898185,0.07002209231290363,-0.0057488531730898185,0.0057488531730898185,0.0057488531730898185
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,RACESURV47a_W43,0.29935395428716366,0.74939979539128,0.8251707408772734,0.07577094548599345,0.6584722861880353,othercell_1,AGExPOLPARTY :: 65+ | Other|AGExPOLPARTY :: 65+ | Republican,0.7583103322901096,0.30193948460675796,0.00891053689882959,0.06686040858716386,-0.00891053689882959,0.00891053689882959,0.00891053689882959
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,RACESURV47a_W43,0.29935395428716366,0.74939979539128,0.8251707408772734,0.07577094548599345,0.6584722861880353,othercell_2,AGExPOLPARTY :: 65+ | Other|AGExPOLPARTY :: 65+ | Republican,0.7525631095853044,0.2990397746199062,0.0031633141940243803,0.07260763129196907,-0.0031633141940243803,0.0031633141940243803,0.0031633141940243803
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,RACESURV47a_W43,0.29935395428716366,0.74939979539128,0.8251707408772734,0.07577094548599345,0.6584722861880353,dimshuffle,,0.741633018605521,0.2997528547770509,0.007766776785758989,0.08353772227175243,0.007766776785758989,-0.007766776785758989,0.007766776785758989
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,INEQ4_e_W54,0.5236865554695591,0.4354408988891739,0.32592018206584505,0.10952071682332887,0.6475802148993562,true,,0.4332931959832053,0.5206407490210587,0.0030458064485004432,0.10737301391736026,0.002147702905968607,0.002147702905968607,0.0030458064485004432
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,INEQ4_e_W54,0.5236865554695591,0.4354408988891739,0.32592018206584505,0.10952071682332887,0.6475802148993562,othercell_1,AGExPOLPARTY :: 65+ | Other|AGExPOLPARTY :: 65+ | Republican,0.44104674508965924,0.5263003811826867,0.0056058462004853205,0.11512656302381419,-0.0056058462004853205,-0.0056058462004853205,0.0056058462004853205
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,INEQ4_e_W54,0.5236865554695591,0.4354408988891739,0.32592018206584505,0.10952071682332887,0.6475802148993562,othercell_2,AGExPOLPARTY :: 65+ | Other|AGExPOLPARTY :: 65+ | Republican,0.4432948243261901,0.5275477312149219,0.007853925437016185,0.11737464226034505,-0.007853925437016185,-0.007853925437016185,0.007853925437016185
AGExPOLPARTY,AGExPOLPARTY :: 30-49 | Refused -> AGExPOLPARTY :: 50-64 | Other,INEQ4_e_W54,0.5236865554695591,0.4354408988891739,0.32592018206584505,0.10952071682332887,0.6475802148993562,dimshuffle,,0.3828949957849062,0.5007901772879348,0.05254590310426771,0.05697481371906116,0.05254590310426771,0.05254590310426771,0.05254590310426771
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Refused,SOCIETY_SSM_W92,0.5857352589451699,0.760689803263147,0.7323221872723241,0.04022501980488977,1.3464250622083171,true,,0.764867966744149,0.581557095464168,0.004178163481002001,0.04205474066121945,-0.004178163481002084,-0.0018297208563296807,0.004178163481002001
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Refused,SOCIETY_SSM_W92,0.5857352589451699,0.760689803263147,0.7323221872723241,0.04022501980488977,1.3464250622083171,othercell_1,AGExPOLPARTY :: 65+ | Democrat|AGExPOLPARTY :: 30-49 | Republican,0.7622087098781454,0.5842163523301716,0.002072842996424573,0.04229786280131434,-0.0015189066149984276,-0.002072842996424573,0.002072842996424573
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Refused,SOCIETY_SSM_W92,0.5857352589451699,0.760689803263147,0.7323221872723241,0.04022501980488977,1.3464250622083171,othercell_2,AGExPOLPARTY :: 65+ | Democrat|AGExPOLPARTY :: 30-49 | Republican,0.764867966744149,0.581557095464168,0.004178163481002001,0.04205474066121945,-0.004178163481002084,-0.0018297208563296807,0.004178163481002001
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Refused,SOCIETY_SSM_W92,0.5857352589451699,0.760689803263147,0.7323221872723241,0.04022501980488977,1.3464250622083171,dimshuffle,,0.7657599321224099,0.580665130085907,0.006518719497134312,0.04342056681996587,-0.005070128859262946,-0.0031955470150761,0.006518719497134312
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Refused,GODMORALIMP_W92,0.9303907782843723,0.22391388826137304,0.3307891040062499,0.10687521574487685,1.1543046665457455,true,,0.22571259435625413,0.9285920721894914,0.0031007965131591986,0.10507650964999576,-0.0017987060948810862,0.0017987060948810862,0.0031007965131591986
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Refused,GODMORALIMP_W92,0.9303907782843723,0.22391388826137304,0.3307891040062499,0.10687521574487685,1.1543046665457455,othercell_1,AGExPOLPARTY :: 65+ | Democrat|AGExPOLPARTY :: 30-49 | Republican,0.22391388826137304,0.9303907782843723,0.0,0.10687521574487685,0.0,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Refused,GODMORALIMP_W92,0.9303907782843723,0.22391388826137304,0.3307891040062499,0.10687521574487685,1.1543046665457455,othercell_2,AGExPOLPARTY :: 65+ | Democrat|AGExPOLPARTY :: 30-49 | Republican,0.225585154624661,0.9287195119210845,0.0016712663632879599,0.10520394938158889,-0.0016712663632879599,0.0016712663632879599,0.0016712663632879599
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Refused,GODMORALIMP_W92,0.9303907782843723,0.22391388826137304,0.3307891040062499,0.10687521574487685,1.1543046665457455,dimshuffle,,0.2168801087624408,0.9374245577833047,0.007954035431595119,0.1139089952438091,0.007033779498932247,-0.007033779498932247,0.007954035431595119
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Refused,SOCIETY_TRANS_W92,0.32266901921865504,0.8091938107727231,0.7510265507526539,0.05816726002006917,1.1318628299913782,true,,0.8145273938860754,0.3173354361053027,0.006148933915323812,0.0635008431334215,-0.005333583113352303,-0.00533358311335233,0.006148933915323812
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Refused,SOCIETY_TRANS_W92,0.32266901921865504,0.8091938107727231,0.7510265507526539,0.05816726002006917,1.1318628299913782,othercell_1,AGExPOLPARTY :: 65+ | Democrat|AGExPOLPARTY :: 30-49 | Republican,0.8091938107727231,0.32266901921865504,0.0,0.05816726002006917,0.0,0.0,0.0
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Refused,SOCIETY_TRANS_W92,0.32266901921865504,0.8091938107727231,0.7510265507526539,0.05816726002006917,1.1318628299913782,othercell_2,AGExPOLPARTY :: 65+ | Democrat|AGExPOLPARTY :: 30-49 | Republican,0.8104686174009061,0.32139421259047196,0.0046633633465681945,0.059442066648252245,-0.0012748066281830228,-0.0012748066281830783,0.0046633633465681945
