attr_type,pair,qkey,wd_A_to_realA,wd_A_to_realB,wd_B_to_realB,condition,wd_patch_to_realB,wd_patch_to_realA,wd_patch_to_predB,shift_ke_realB,shift_dari_realA
AGExPOLPARTY,AGExPOLPARTY :: 18-29 | Independent -> AGExPOLPARTY :: 50-64 | Independent,CARS10A_W27,0.05907383744397732,0.04997192918368043,0.03296314858097382,patch_L11H16,0.04997192918368043,0.05907383744397732,0.017008780602706608,0.0,0.0
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,FAMSURV38c_W50,0.24255497575679497,0.33610931261573584,0.3371889613649629,patch_random,0.3374003155278239,0.2412639728447069,0.008581388347250751,-0.0012910029120880573,-0.0012910029120880573
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,FAMSURV5c_W50,0.3653582309961906,0.15478288755415126,0.18679776502747264,patch_L11H16,0.15620229749391812,0.36677764093595744,0.03239039087961809,-0.001419409939766858,0.001419409939766858
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,FAMSURV5c_W50,0.3653582309961906,0.15478288755415126,0.18679776502747264,patch_L18H14,0.15478288755415126,0.3653582309961906,0.03277273170119227,0.0,0.0
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,FAMSURV5c_W50,0.3653582309961906,0.15478288755415126,0.18679776502747264,patch_top3,0.15619322268675107,0.3667685661287904,0.031616111642824574,-0.0014103351325998048,0.0014103351325998048
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,FAMSURV5c_W50,0.3653582309961906,0.15478288755415126,0.18679776502747264,patch_random,0.15477685249881135,0.36535219594085067,0.032020912528661294,6.035055339914663e-06,-6.035055339914663e-06
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,FAMSURV5d_W50,0.2769591420681944,0.2488009126762349,0.21522493630017525,patch_L11H16,0.24842285980554338,0.27563273095781826,0.060591263753436125,0.0003780528706915087,-0.0013264111103761245
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,FAMSURV5d_W50,0.2769591420681944,0.2488009126762349,0.21522493630017525,patch_L18H14,0.2492439346342015,0.2755655250145651,0.06065846969668928,-0.0004430219579666106,-0.0013936170536292813
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,FAMSURV5d_W50,0.2769591420681944,0.2488009126762349,0.21522493630017525,patch_top3,0.2488009126762349,0.2769591420681944,0.05926485264305997,0.0,0.0
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,FAMSURV5d_W50,0.2769591420681944,0.2488009126762349,0.21522493630017525,patch_random,0.2492439346342015,0.2755655250145651,0.06065846969668928,-0.0004430219579666106,-0.0013936170536292813
RELIGxPOLPARTY,RELIGxPOLPARTY :: Mormon | Democrat -> RELIGxPOLPARTY :: Atheist | Independent,FATHER_W50,0.35032711387661036,0.15561394511178583,0.14201615827999603,patch_L11H16,0.15561394511178583,0.35032711387661036,0.013597786831789804,0.0,0.0
