component,layer,head,template,attr_type,rho
resid,4,-1,T1,AGExPOLPARTY,0.4531180893409995
resid,4,-1,T1,EDUCATIONxINCOME,0.461328263462002
resid,4,-1,T1,RACExPOLIDEOLOGY,0.24046169656992197
resid,4,-1,T1,RACExPOLPARTY,0.1759034308495519
resid,4,-1,T1,RACExRELIG,0.0385549930101636
resid,4,-1,T1,RELIGxPOLPARTY,0.1724713785668363
resid,4,-1,T2,AGExPOLPARTY,0.3187148341399686
resid,4,-1,T2,EDUCATIONxINCOME,0.47829006460649887
resid,4,-1,T2,RACExPOLIDEOLOGY,0.11770643150673289
resid,4,-1,T2,RACExPOLPARTY,0.09402808595490762
resid,4,-1,T2,RACExRELIG,0.05856510270171837
resid,4,-1,T2,RELIGxPOLPARTY,0.05276804038738402
resid,4,-1,T3,AGExPOLPARTY,0.3969653386185257
resid,4,-1,T3,EDUCATIONxINCOME,0.4340122963021419
resid,4,-1,T3,RACExPOLIDEOLOGY,0.28121276965272646
resid,4,-1,T3,RACExPOLPARTY,0.1590574977152019
resid,4,-1,T3,RACExRELIG,0.021207730381229455
resid,4,-1,T3,RELIGxPOLPARTY,0.16385017866072246
resid,4,-1,Tmean,AGExPOLPARTY,0.43097047431412755
resid,4,-1,Tmean,EDUCATIONxINCOME,0.4403143631100501
resid,4,-1,Tmean,RACExPOLIDEOLOGY,0.25655099586350033
resid,4,-1,Tmean,RACExPOLPARTY,0.15653818249015922
resid,4,-1,Tmean,RACExRELIG,0.0310747345751313
resid,4,-1,Tmean,RELIGxPOLPARTY,0.16078094635513174
resid,5,-1,T0,AGExPOLPARTY,0.47555385790679905
resid,5,-1,T0,EDUCATIONxINCOME,0.4803194110244756
resid,5,-1,T0,RACExPOLIDEOLOGY,0.3295200171675837
resid,5,-1,T0,RACExPOLPARTY,0.16799809686404055
resid,5,-1,T0,RACExRELIG,0.048721048853289
resid,5,-1,T0,RELIGxPOLPARTY,0.1430956487257576
resid,5,-1,T1,AGExPOLPARTY,0.4700554863093563
resid,5,-1,T1,EDUCATIONxINCOME,0.4645629898637967
resid,5,-1,T1,RACExPOLIDEOLOGY,0.2915361287533958
resid,5,-1,T1,RACExPOLPARTY,0.18361017151772846
resid,5,-1,T1,RACExRELIG,0.06655722220123172
resid,5,-1,T1,RELIGxPOLPARTY,0.14653838472046266
resid,5,-1,T2,AGExPOLPARTY,0.3453606822544554
resid,5,-1,T2,EDUCATIONxINCOME,0.48185799773235166
resid,5,-1,T2,RACExPOLIDEOLOGY,0.12230310274476756
resid,5,-1,T2,RACExPOLPARTY,0.12323302169377466
resid,5,-1,T2,RACExRELIG,0.07898836286696641
resid,5,-1,T2,RELIGxPOLPARTY,0.02142879088855067
resid,5,-1,T3,AGExPOLPARTY,0.449003524854918
resid,5,-1,T3,EDUCATIONxINCOME,0.42086171290606295
resid,5,-1,T3,RACExPOLIDEOLOGY,0.30454884382156333
resid,5,-1,T3,RACExPOLPARTY,0.16532458682765327
resid,5,-1,T3,RACExRELIG,0.024160086145010765
resid,5,-1,T3,RELIGxPOLPARTY,0.13581218100204537
resid,5,-1,Tmean,AGExPOLPARTY,0.4627678822725262
resid,5,-1,Tmean,EDUCATIONxINCOME,0.4486175790685033
resid,5,-1,Tmean,RACExPOLIDEOLOGY,0.31317964631469347
resid,5,-1,Tmean,RACExPOLPARTY,0.16984183482225826
resid,5,-1,Tmean,RACExRELIG,0.0439641818113122
resid,5,-1,Tmean,RELIGxPOLPARTY,0.1380002828248075
resid,6,-1,T0,AGExPOLPARTY,0.5041380188439012
resid,6,-1,T0,EDUCATIONxINCOME,0.4929115607349217
resid,6,-1,T0,RACExPOLIDEOLOGY,0.3147262958718142
resid,6,-1,T0,RACExPOLPARTY,0.16760301015870815
resid,6,-1,T0,RACExRELIG,0.0773784335209884
resid,6,-1,T0,RELIGxPOLPARTY,0.17410461893730766
resid,6,-1,T1,AGExPOLPARTY,0.4810924369747899
resid,6,-1,T1,EDUCATIONxINCOME,0.48920918616075787
resid,6,-1,T1,RACExPOLIDEOLOGY,0.2956223967322392
resid,6,-1,T1,RACExPOLPARTY,0.1797193024454727
resid,6,-1,T1,RACExRELIG,0.08032776665281292
resid,6,-1,T1,RELIGxPOLPARTY,0.14891629989343044
resid,6,-1,T2,AGExPOLPARTY,0.41572046402825086
resid,6,-1,T2,EDUCATIONxINCOME,0.481940957375877
resid,6,-1,T2,RACExPOLIDEOLOGY,0.16856505452710677
resid,6,-1,T2,RACExPOLPARTY,0.14955427871509258
resid,6,-1,T2,RACExRELIG,0.0828360828029284
resid,6,-1,T2,RELIGxPOLPARTY,0.02461217463208542
resid,6,-1,T3,AGExPOLPARTY,0.46734483266991
resid,6,-1,T3,EDUCATIONxINCOME,0.43038231429919593
resid,6,-1,T3,RACExPOLIDEOLOGY,0.29252370010181283
resid,6,-1,T3,RACExPOLPARTY,0.16858667705831698
resid,6,-1,T3,RACExRELIG,0.053561793932066344
resid,6,-1,T3,RELIGxPOLPARTY,0.15510404016695412
resid,6,-1,Tmean,AGExPOLPARTY,0.48917078793239777
resid,6,-1,Tmean,EDUCATIONxINCOME,0.4716520310844571
resid,6,-1,Tmean,RACExPOLIDEOLOGY,0.3072206143331042
resid,6,-1,Tmean,RACExPOLPARTY,0.17364660679168145
resid,6,-1,Tmean,RACExRELIG,0.07469849246231157
resid,6,-1,Tmean,RELIGxPOLPARTY,0.1576539828001697
resid,7,-1,T0,AGExPOLPARTY,0.48914733357457807
resid,7,-1,T0,EDUCATIONxINCOME,0.4756170732987828
resid,7,-1,T0,RACExPOLIDEOLOGY,0.3174119954573807
resid,7,-1,T0,RACExPOLPARTY,0.16130922194468159
resid,7,-1,T0,RACExRELIG,0.07004080553141648
resid,7,-1,T0,RELIGxPOLPARTY,0.18244984597710867
resid,7,-1,T1,AGExPOLPARTY,0.4744179968638172
resid,7,-1,T1,EDUCATIONxINCOME,0.4803213675804545
resid,7,-1,T1,RACExPOLIDEOLOGY,0.2991535911111614
resid,7,-1,T1,RACExPOLPARTY,0.1570232661670935
resid,7,-1,T1,RACExRELIG,0.07575698039067517
resid,7,-1,T1,RELIGxPOLPARTY,0.13983995614757622
resid,7,-1,T2,AGExPOLPARTY,0.43979266347687396
resid,7,-1,T2,EDUCATIONxINCOME,0.47346924251076233
resid,7,-1,T2,RACExPOLIDEOLOGY,0.18112488590129594
resid,7,-1,T2,RACExPOLPARTY,0.14597059903713774
resid,7,-1,T2,RACExRELIG,0.06085408531634142
resid,7,-1,T2,RELIGxPOLPARTY,0.043767142154975146
resid,7,-1,T3,AGExPOLPARTY,0.4594742203101335
resid,7,-1,T3,EDUCATIONxINCOME,0.43005206395459755
resid,7,-1,T3,RACExPOLIDEOLOGY,0.29593823848577033
resid,7,-1,T3,RACExPOLPARTY,0.15611069687505016
resid,7,-1,T3,RACExRELIG,0.04700230475686704
resid,7,-1,T3,RELIGxPOLPARTY,0.15903384713173366
resid,7,-1,Tmean,AGExPOLPARTY,0.46811882647795955
resid,7,-1,Tmean,EDUCATIONxINCOME,0.45657831620749023
resid,7,-1,Tmean,RACExPOLIDEOLOGY,0.3143011108871818
resid,7,-1,Tmean,RACExPOLPARTY,0.15743695224655693
resid,7,-1,Tmean,RACExRELIG,0.06683757131522272
resid,7,-1,Tmean,RELIGxPOLPARTY,0.15621099313785375
resid,8,-1,T0,AGExPOLPARTY,0.4886815970407301
resid,8,-1,T0,EDUCATIONxINCOME,0.5024003680933983
resid,8,-1,T0,RACExPOLIDEOLOGY,0.3266967679760141
resid,8,-1,T0,RACExPOLPARTY,0.16505099603398346
resid,8,-1,T0,RACExRELIG,0.06315373861790155
resid,8,-1,T0,RELIGxPOLPARTY,0.20497538403672638
resid,8,-1,T1,AGExPOLPARTY,0.4517476847198209
resid,8,-1,T1,EDUCATIONxINCOME,0.5112143266854997
resid,8,-1,T1,RACExPOLIDEOLOGY,0.2946257714857055
resid,8,-1,T1,RACExPOLPARTY,0.16809859348232933
resid,8,-1,T1,RACExRELIG,0.08957418672308913
resid,8,-1,T1,RELIGxPOLPARTY,0.16594818474582942
